unique.cellid,CGP.cellid,CCLE.cellid,GSK.cellid,NCI60.cellid,GRAY.cellid,GNE.cellid,CTRP.cellid,CGP_EMTAB3610.cellid,CCLE_rnaseq.cellid,GDSC.SNP.cellid,Ben_Neel.cellid,LINCS_HMS.cellid,,SU2C.cellid,PGP.cellid,COSMIC.tissueid,Comment
184A1,,,,,184A1,,,,,,184a1,,,,,breast,
184B5,,,,,184B5,,,,,,184b5,,,,,breast,
22RV1,22RV1,22Rv1,22RV1,,,,,22RV1,22Rv1,,,,,,,prostate,
23132-87,23132-87,23132/87,,,,,,23132-87,23132_87,,,,,,,stomach,
600MPE,,,,,600MPE,,,,,,600mpe,,,,,breast,
639-V,639-V,639-V,639V,,,,,639-V,639-V,,,,,,,urinary_tract,
647-V,647-V,647-V,647V,,,,,647-V,647-V,,,,,,,urinary_tract,
769-P,769-P,769-P,769P,,,769-P,,769-P,769-P,,,,,,,kidney,
786-0,786-0,786-O,786O,RE:786_0,,786-O,,786-o,786-O,,,786-O,,,,kidney,http://www.atcc.org/products/all/CRL-1932.aspx
A204,A204,A-204,A204,,,,,A204,A-204,,,A-204,,,,soft_tissue,
A253,A253,A-253,,,,,,A253,A-253,,,,,,,skin,"could also be considered upper_aerodigestive_tract, salivary_gland, head_neck"
A3-KAW,A3-KAW,A3/KAW,,,,A3/KAW,,A3-KAW,A3_KAW,,,,,,,haematopoietic_and_lymphoid_tissue,
A375,A375,A-375,A375,,,A-375,A375,A375,A-375,,,,,,,skin,
A4-Fuk,A4-Fuk,A4/Fuk,,,,A4/Fuk,,A4-Fuk,A4_Fuk,,,,,,,haematopoietic_and_lymphoid_tissue,
A427,A427,,A427,,,A-427,,A427,,,,,,,,lung,
A431,A431,,A431,,,A-431,,A431,,,,A-431,,,,skin,
A498,A498,A-498,A498,RE:A498,,A-498,,A498,A-498,,,,,,,haematopoietic_and_lymphoid_tissue,
A549,A549,A549,A549,LC:A549,,A549,A549,A549,A549,,,,,,A549,lung,
A673,A673,A-673,A673,,,A-673,,A673,A-673,,,,,,,bone,
A704,A704,A-704,,,,,,A704,A-704,,,,,,,kidney,
ACHN,ACHN,ACHN,ACHN,RE:ACHN,,ACHN,,ACHN,ACHN,,,,,,,kidney,
AMO-1,,AMO-1,,,,AMO-1,AMO1,AMO-1,AMO-1,,,,,,,haematopoietic_and_lymphoid_tissue,
AN3-CA,AN3-CA,AN3 CA,AN3CA,,,AN3 CA,,AN3-CA,AN3_CA,,,,,,,endometrium,
ARH-77,ARH-77,,ARH77,,,,,ARH-77,,,,,,,,haematopoietic_and_lymphoid_tissue,
AsPC-1,AsPC-1,AsPC-1,ASPC1,,,AsPC-1,,AsPC-1,AsPC-1,,,,,,,pancreas,
AU565,AU565,AU565,,,AU565,,,AU565,AU565,,au565,,,,,breast,
AU655,,,,,,,,,,,au655,,,,,breast,
BC-1,BC-1,,BC1,,,,,BC-1,,,,,,,,haematopoietic_and_lymphoid_tissue,
BC-2,,,BC2,,,,,,,,,BC-2,,,,hematopoietic_and_lymphatic_system,
BC-3,BC-3,,BC3,,,,,,,,,,,,,haematopoietic_and_lymphoid_tissue,
BCPAP,BCPAP,B-CPAP,,,,,,BCPAP,B-CPAP,,,,,,,thyroid,
