COSMIC.tissueid,CGP.tissueid,CCLE.tissueid,GSK.tissueid,NCI60.tissueid,GRAY.tissueid,PGP.tissueid,GNE.tissueid,LINCS_HMS.tissueid
adrenal_gland,adrenal_gland,,,,,,,adrenal gland
autonomic_ganglia,autonomic_ganglia,autonomic_ganglia,,,,,brain,nervous system
biliary_tract,biliary_tract,biliary_tract,,,,,,
bone,bone,bone,Sarcoma,,,,sarcomatoid,bone
breast,breast,breast,Breast,BR,breast,breast,breast,breast
central_nervous_system,central_nervous_system,central_nervous_system,CNS,CNS,,,brain,brain/nervous system
cervix,cervix,,,,,,cervix,cervix
endometrium,endometrium,endometrium,Endometrium,,,,uterus,uterus
haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,haematopoietic_and_lymphoid_tissue,Haematopoietic and lymphoid,LE,,,lymphoid,blood/lymphatic system
kidney,kidney,kidney,Kidney,RE,,,kidney,kidney
large_intestine,large_intestine,large_intestine,Colon,CO,,large intestine,colo-rectal,intestine
liver,liver,liver,Liver,,,,liver,liver
lung,lung,lung,Lung,LC,,lung,lung,lung
oesophagus,oesophagus,oesophagus,,,,,head-neck,
ovary,ovary,ovary,Ovary,OV,,,ovary,ovary
pancreas,pancreas,pancreas,Pancreas,,,,pancreas,pancreas
placenta,placenta,,,,,,,miscellaneous
pleura,pleura,pleura,,,,,other,
prostate,prostate,prostate,Prostate,PR,,prostate,other,prostate
skin,skin,skin,Skin,ME,,,skin,skin
small_intestine,small_intestine,small_intestine,,,,,,
soft_tissue,soft_tissue,soft_tissue,Sarcoma,,,,sarcomatoid,muscle
stomach,stomach,stomach,Stomach,,,stomach,stomach,stomach
testis,testis,,Placenta,,,,,testes
thyroid,thyroid,thyroid,,,,,,
upper_aerodigestive_tract,upper_aerodigestive_tract,upper_aerodigestive_tract,Head and Neck,,,,head-neck,head & neck
urinary_tract,urinary_tract,urinary_tract,Bladder,,,,urinary bladder,urinary bladder
vulva,vulva,,,,,,,
